ADMIN,ADM0_A3,NAME,NAME_LONG,ABBREV,POSTAL,ISO_A3,POP2020,hiv_prev,POP2020million
Ethiopia,ETH,Ethiopia,Ethiopia,Eth.,ET,ETH,111731311,1,111.7
South Sudan,SDS,S. Sudan,South Sudan,S. Sud.,SS,SSD,14111968,2,14.1
Somalia,SOM,Somalia,Somalia,Som.,SO,SOM,9324388,0,9.3
Kenya,KEN,Kenya,Kenya,Ken.,KE,KEN,51513181,4,51.5
Malawi,MWI,Malawi,Malawi,Mal.,MW,MWI,20052347,8,20.05
United Republic of Tanzania,TZA,Tanzania,Tanzania,Tanz.,TZ,TZA,61896817,5,61.8
Somaliland,SOL,Somaliland,Somaliland,Solnd.,SL,,3134820,0,3.1
Morocco,MAR,Morocco,Morocco,Mor.,MA,MAR,36774373,0,36.7
Western Sahara,SAH,W. Sahara,Western Sahara,W. Sah.,WS,ESH,52342,0,
Republic of the Congo,COG,Congo,Republic of the Congo,Rep. Congo,CG,COG,5244115,4,5.2
Democratic Republic of the Congo,COD,Dem. Rep. Congo,Democratic Republic of the Congo,D.R.C.,DRC,COD,89635682,1,89.6
Namibia,NAM,Namibia,Namibia,Nam.,NA,NAM,2733529,12,2.7
South Africa,ZAF,South Africa,South Africa,S.Af.,ZA,ZAF,56423281,18,56.4
Libya,LBY,Libya,Libya,Libya,LY,LBY,6652042,0,6.6
Tunisia,TUN,Tunisia,Tunisia,Tun.,TN,TUN,11642962,0,11.6
Zambia,ZMB,Zambia,Zambia,Zambia,ZM,ZMB,18783579,11,18.7
Sierra Leone,SLE,Sierra Leone,Sierra Leone,S.L.,SL,SLE,6951156,1,6.9
Guinea,GIN,Guinea,Guinea,Gin.,GN,GIN,14260099,2,14.2
Liberia,LBR,Liberia,Liberia,Liberia,LR,LBR,4952627,1,4.9
Central African Republic,CAF,Central African Rep.,Central African Republic,C.A.R.,CF,CAF,5359569,3,5.3
Sudan,SDN,Sudan,Sudan,Sudan,SD,SDN,45292131,0,45.2
Djibouti,DJI,Djibouti,Djibouti,Dji.,DJ,DJI,880652,1,1
Eritrea,ERI,Eritrea,Eritrea,Erit.,ER,ERI,5954777,1,5.9
Ivory Coast,CIV,C̫te d'Ivoire,C̫te d'Ivoire,I.C.,CI,CIV,25170076,2,25.1
Mali,MLI,Mali,Mali,Mali,ML,MLI,20542098,1,20.5
Senegal,SEN,Senegal,Senegal,Sen.,SN,SEN,17384422,0,17.3
Nigeria,NGA,Nigeria,Nigeria,Nigeria,NG,NGA,205773415,1,205.7
Benin,BEN,Benin,Benin,Benin,BJ,BEN,12418379,1,12.4
Angola,AGO,Angola,Angola,Ang.,AO,AGO,29150495,2,29.1
Botswana,BWA,Botswana,Botswana,Bwa.,BW,BWA,2442807,19,2.4
Zimbabwe,ZWE,Zimbabwe,Zimbabwe,Zimb.,ZW,ZWE,17363456,12,17.3
Chad,TCD,Chad,Chad,Chad,TD,TCD,16435333,1,16.4
Algeria,DZA,Algeria,Algeria,Alg.,DZ,DZA,42732752,0,42.7
Mozambique,MOZ,Mozambique,Mozambique,Moz.,MZ,MOZ,31731546,0,31.7
eSwatini,SWZ,eSwatini,Kingdom of eSwatini,eSw.,ES,SWZ,1361544,28,1.3
Burundi,BDI,Burundi,Burundi,Bur.,BI,BDI,13096589,1,13.09
Rwanda,RWA,Rwanda,Rwanda,Rwa.,RW,RWA,13298620,2,13.2
Uganda,UGA,Uganda,Uganda,Uga.,UG,UGA,45982145,5,45.9
Lesotho,LSO,Lesotho,Lesotho,Les.,LS,LSO,2232440,21,2.2
Cameroon,CMR,Cameroon,Cameroon,Cam.,CM,CMR,26264883,3,26.2
Gabon,GAB,Gabon,Gabon,Gabon,GA,GAB,1828659,3,1.8
Niger,NER,Niger,Niger,Niger,NE,NER,24140192,0,24.1
Burkina Faso,BFA,Burkina Faso,Burkina Faso,B.F.,BF,BFA,20829111,1,20.8
Togo,TGO,Togo,Togo,Togo,TG,TGO,8295979,2,8.2
Ghana,GHA,Ghana,Ghana,Ghana,GH,GHA,30255542,2,30.2
Guinea-Bissau,GNB,Guinea-Bissau,Guinea-Bissau,GnB.,GW,GNB,2026677,3,2.02
Egypt,EGY,Egypt,Egypt,Egypt,EG,EGY,99075949,0,99.07
Mauritania,MRT,Mauritania,Mauritania,Mrt.,MR,MRT,4509214,0,4.5
Equatorial Guinea,GNQ,Eq. Guinea,Equatorial Guinea,Eq. G.,GQ,GNQ,924984,7,1
Gambia,GMB,Gambia,The Gambia,Gambia,GM,GMB,2186370,2,2.1
Madagascar,MDG,Madagascar,Madagascar,Mad.,MG,MDG,27555174,0,27.5
